"Code","Name","Latitude","Longitude","No_Observed","Number_By_Party_Hours","year","bird"
"MOCO","Columbia",38.8915,-92.3348,"26",0.168,"1997","NPT"
"FLSB","South Brevard County",27.8486,-80.55,"25",0.1773,"1997","NPT"
"TXHG","Harlingen",26.177,-97.6813,"25",0.3436,"1997","NPT"
"ORUC","Union County",45.25,-117.8833,"25",0.5319,"1997","NPT"
"ORME","Medford",42.4026,-122.8559,"24",0.3529,"1997","NPT"
"OKSE","Sequoyah",34.4985,-94.9695,"24",0.6857,"1997","NPT"
"MXPP","Puerto Penasco, Sonora, Mexico",31.3501,-113.5167,"24",0.5134,"1997","NPT"
"HIKU","Moloka'i: Kualapu'u",21.1333,-157.0167,"24",1.1566,"1997","NPT"
"HIWO","O'ahu: Waipi'o",21.4618,-158.0128,"24",0.6906,"1997","NPT"
"ORSL","Silverton",44.966,-122.7065,"23",0.3833,"1997","NPT"
"CACM","Claremont",34.1384,-117.7073,"23",0.3286,"1997","NPT"
"TXLK","Lake Tawakoni",32.7667,-95.9167,"23",0.3651,"1997","NPT"
"ARHB","Holla Bend N.W.R.",35.166,-93.1382,"22",0.2973,"1997","NPT"
"NVHE","Henderson",36.0833,-114.95,"22",0,"1997","NPT"
"NJTM","Trenton Marshes",40.1918,-74.7276,"22",0.2627,"1997","NPT"
"NYQU","L.I.: Queens",40.6932,-73.7448,"22",0.2472,"1997","NPT"
"VACC","Cape Charles",37.1899,-75.941,"22",0.2095,"1997","NPT"
"HIKA","Kaua'i: Kapa'a",22.15,-159.4167,"22",1.6923,"1997","NPT"
"MEFB","Freeport-Brunswick",43.8229,-70.0268,"22",0.3465,"1997","NPT"
"CAON","Orange County (northeastern)",33.7145,-117.6776,"21",0.0861,"1997","NPT"
"INMT","Muscatatuck N.W.R.",38.9594,-85.7983,"21",0.3889,"1997","NPT"
"NYCS","L.I.: Central Suffolk County",40.8333,-72.7838,"21",0.1879,"1997","NPT"
"CABA","Bakersfield",35.4311,-118.9173,"20",0.241,"1997","NPT"
"CODE","Denver",39.587,-105.143,"20",0.101,"1997","NPT"
"CASF","San Francisco",37.7143,-122.4689,"19",0.1387,"1997","NPT"
"LALO","Lake Ophelia N.W.R.",31.2333,-91.9,"19",0.4872,"1997","NPT"
"OKHR","Hulah Reservoir",36.9289,-96.0873,"19",0.2275,"1997","NPT"
"TXAB","Abilene",32.3501,-99.7502,"19",0.5135,"1997","NPT"
"LANA","Natchitoches",31.824,-93.0635,"18",0.5143,"1997","NPT"
"TNHI","Hiwassee",35.3655,-84.92,"18",0.2368,"1997","NPT"
"CACH","China Lake",35.6518,-117.7056,"18",0.2609,"1997","NPT"
"NJMO","Moorestown",39.9422,-74.9391,"18",0.1885,"1997","NPT"
"NEBO","Branched Oak-Seward",40.9378,-96.9759,"18",0.2727,"1997","NPT"
"MDCR","Crisfield",38.0298,-75.7577,"18",0.18,"1997","NPT"
"RINC","Newport County-Westport",41.5369,-71.1566,"18",0.24,"1997","NPT"
"NMAL","Albuquerque",35.1833,-106.6167,"18",0.24,"1997","NPT"
"TXLR","Lake Ray Hubbard",32.9296,-96.5363,"18",0.4138,"1997","NPT"
"ILRL","Rend Lake",38.1324,-88.9677,"17",0.2833,"1997","NPT"
"INPL","Patoka Lake",38.4347,-86.6062,"17",0.5484,"1997","NPT"
"MANE","Newburyport",42.7398,-70.8987,"17",0.1068,"1997","NPT"
"NCPE","Pettigrew S.P.",35.7667,-76.45,"16",0.2909,"1997","NPT"
"NYMK","L.I.: Montauk",41.05,-72,"16",0.0792,"1997","NPT"
"TXBA","Balmorhea",30.9858,-103.7459,"16",0.4354,"1997","NPT"
"ARWR","White River N.W.R.",34.3146,-91.121,"16",0.9275,"1997","NPT"
"AKGB","Glacier Bay",58.4506,-135.8721,"16",0.3048,"1997","NPT"
"DEWI","Wilmington",39.745,-75.6399,"16",0.127,"1997","NPT"
"NCPI","Portsmouth Island",35,-76.1167,"16",0.4923,"1997","NPT"
"CORA","Rawhide Energy Station",40.8628,-105.1431,"16",0.4444,"1997","NPT"
"MOSC","Loess Bluffs (formerly Squaw Creek) N.W.R.",40.0833,-95.2667,"15",0.8333,"1997","NPT"
"NYOO","Oak Orchard Swamp",43.1517,-78.3904,"15",0.2151,"1997","NPT"
"NJBA","Barnegat",39.6667,-74.1667,"15",0.2256,"1997","NPT"
"NYSM","L.I.: Smithtown",40.9133,-73.1386,"15",0.1807,"1997","NPT"
"CAVE","Ventura",34.3484,-119.1921,"15",0.0962,"1997","NPT"
"UTLO","Logan",41.7993,-111.8333,"15",0.1027,"1997","NPT"
"TXCR","Crawford",31.556,-97.3556,"14",0.306,"1997","NPT"
"MTCC","Clark Canyon Dam",45.0016,-112.8579,"13",1.3684,"1997","NPT"
"WYJH","Jackson Hole",43.5742,-110.7332,"13",0.1444,"1997","NPT"
"CAMO","Modoc N.W.R.",41.45,-120.5167,"13",0.3355,"1997","NPT"
"NJSA","Salem",39.614,-75.4142,"13",0.1688,"1997","NPT"
"CORF","Roaring Fork River Valley",39.4579,-107.2624,"13",0.26,"1997","NPT"
"AZSE","Sedona",34.8391,-111.8802,"13",0.1955,"1997","NPT"
"MSJA","Jackson",32.4476,-90.004,"13",0.1576,"1997","NPT"
"CABB","Big Bear Lake",34.2833,-116.9,"13",0.4,"1997","NPT"
"ORRS","Roseburg-Sutherlin",43.3177,-123.3473,"13",0.161,"1997","NPT"
"WASE","Seattle",47.6017,-122.3341,"13",0.0648,"1997","NPT"
"SCMC","McClellanville",33.1003,-79.4037,"12",0.1678,"1997","NPT"
"GAPR","Piedmont N.W.R.-Rum Creek W.M.A.",33.0936,-83.747,"12",0.2609,"1997","NPT"
"DCDC","Washington",38.8674,-77.0685,"12",0.0722,"1997","NPT"
"HILA","Laysan Island",25.7691,-171.7331,"12",0.8,"1997","NPT"
"TNJA","Jackson",35.6119,-88.8205,"12",0.3871,"1997","NPT"
"ORBA","Baker",44.8619,-117.8392,"12",0.4286,"1997","NPT"
"NCPD","Pee Dee N.W.R.",35.1167,-80.05,"12",0.1818,"1997","NPT"
"NYMZ","Montezuma",43.0029,-76.731,"12",0.1951,"1997","NPT"
"TXMU","Muleshoe N.W.R.",33.9563,-102.7783,"12",0.6154,"1997","NPT"
"AZPO","Portal",31.9009,-109.1364,"12",0.0839,"1997","NPT"
"COPR","Pueblo Reservoir",38.2354,-104.7857,"12",0.1967,"1997","NPT"
"SCSN","Santee N.W.R.",33.5104,-80.408,"12",0.1486,"1997","NPT"
"NYRH","Rochester",43.2232,-77.6413,"11",0.0821,"1997","NPT"
"ILPM","Pere Marquette Park",38.9968,-90.6051,"11",0.1636,"1997","NPT"
"TXBN","Burnet County",30.7514,-98.275,"11",0.106,"1997","NPT"
"CTOL","Old Lyme-Saybrook",41.2924,-72.427,"11",0.0658,"1997","NPT"
"AZJE","Jerome",34.7398,-112.1238,"11",0.2418,"1997","NPT"
"PASL","Southern Lancaster County",39.8172,-76.1698,"11",0.0542,"1997","NPT"
"WVCT","Charles Town",39.3319,-77.8512,"10",0.1852,"1997","NPT"
"TXRL","Robert Lee",31.9161,-100.4999,"10",1,"1997","NPT"
"WAEL","Ellensburg",47.006,-120.5895,"10",0.1923,"1997","NPT"
"TXLV","Lewisville",33.0301,-96.9929,"10",0.1481,"1997","NPT"
"TNME","Memphis",35.15,-89.9333,"10",0.0858,"1997","NPT"
"AZFL","Flagstaff-Mt. Elden",35.241,-111.5976,"10",0.4545,"1997","NPT"
"ALEU","Eufaula N.W.R.",31.9939,-85.0886,"10",0.2532,"1997","NPT"
"TXDA","Dallas County",32.8258,-96.8312,"10",0.1111,"1997","NPT"
"AZGR","Gila River",33.3071,-112.6833,"10",0.0535,"1997","NPT"
"IDPO","Pocatello",42.8676,-112.4301,"10",0.2439,"1997","NPT"
"PALB","Southern Bucks County",40.1765,-74.8971,"9",0.0807,"1997","NPT"
"VABL","Blacksburg",37.2153,-80.469,"9",0.088,"1997","NPT"
"IAPC","Princeton-Camanche",41.7486,-90.3546,"9",0.2903,"1997","NPT"
"MAMC","Mid-Cape Cod",41.7004,-70.3002,"9",0.0942,"1997","NPT"
"CALA","Los Angeles",34.0477,-118.3793,"9",0.0687,"1997","NPT"
"ORUM","Umatilla County",45.6,-118.6667,"9",0.1395,"1997","NPT"
"OHKP","Killdeer Plains Wildlife Area",40.6436,-83.3619,"9",0.1773,"1997","NPT"
"SCCA","Charleston",32.9333,-79.7,"9",0.1059,"1997","NPT"
"WAWE","Wenatchee",47.4551,-120.323,"9",0.1184,"1997","NPT"
"CACO","Chico",39.722,-121.8238,"9",0.09,"1997","NPT"
"MTBG","Bigfork",48.0952,-114.0888,"9",0.1053,"1997","NPT"
"KSOL","Olathe",38.9127,-94.8521,"8",0.2857,"1997","NPT"
"NJLB","Long Branch",40.2502,-74.0554,"8",0.0755,"1997","NPT"
"ILSP","Springfield",39.8,-89.65,"8",0.1345,"1997","NPT"
"CACL","Clear Lake",38.9392,-122.7199,"8",0.1013,"1997","NPT"
"OKTU","Tulsa",36.3221,-95.9022,"8",0.063,"1997","NPT"
"CAMN","Manchester",39.0347,-123.6897,"8",0.1053,"1997","NPT"
"MOML","Montrose Lake Wildlife Area",38.2521,-93.8217,"8",0.1509,"1997","NPT"
"TXGA","Galveston",29.3333,-94.8333,"8",0.0922,"1997","NPT"
"COCS","Colorado Springs",38.8022,-104.8167,"8",0.0522,"1997","NPT"
"CAML","Mono Lake",37.9561,-119.1201,"8",0.069,"1997","NPT"
"TXLS","La Sal Vieja",26.4849,-97.9649,"7",0.0854,"1997","NPT"
"PABL","Bloomsburg",41.0629,-76.546,"7",0.0733,"1997","NPT"
"LAST","St. Tammany Parish",30.4211,-90.0886,"7",0.0574,"1997","NPT"
"ILCR","Calumet City-Sand Ridge",41.6155,-87.5395,"7",0.0749,"1997","NPT"
"FLSC","Sanibel-Captiva",26.4594,-82.1567,"6",0.0358,"1997","NPT"
"NYOR","L.I.: Orient",41.107,-72.3346,"6",0.04,"1997","NPT"
"WALY","Lyle",45.6833,-121.2333,"6",0.1371,"1997","NPT"
"MANA","Nantucket",41.2901,-70.0901,"6",0.0412,"1997","NPT"
"ORWC","Wallowa County",45.3748,-117.2009,"6",0.375,"1997","NPT"
"ILIL","Illini S.P.",41.317,-88.6957,"6",0.1437,"1997","NPT"
"COBO","Boulder",40.0256,-105.2725,"6",0.0324,"1997","NPT"
"MDSE","Seneca",39.0671,-77.3285,"6",0.0214,"1997","NPT"
"TXCA","Caddo National Grasslands",33.7405,-96.0024,"6",0.0916,"1997","NPT"
"ILCT","Clinton Lake",40.1668,-88.7999,"6",0.096,"1997","NPT"
"ARLV","Lake Village",33.4,-91.3167,"6",0.1017,"1997","NPT"
"ORFL","Florence",44.0334,-124.0667,"6",0.0309,"1997","NPT"
"IDSV","Sun Valley",43.3081,-114.067,"6",0.3,"1997","NPT"
"NCKH","Kitty Hawk",36.031,-75.7185,"6",0.0896,"1997","NPT"
"MIMO","Monroe",41.8731,-83.4425,"6",0.1176,"1997","NPT"
"OKAC","Arcadia",35.5667,-97.2167,"6",0.142,"1997","NPT"
"AZCV","Camp Verde",34.5873,-111.7545,"6",0.1091,"1997","NPT"
"NYBW","Bronx-Westchester Region",40.9117,-73.7825,"6",0.032,"1997","NPT"
"OHFR","Fremont",41.3562,-83.0766,"6",0.15,"1997","NPT"
"MAMV","Martha's Vineyard",41.3571,-70.5207,"5",0.0483,"1997","NPT"
"MIDO","Dowagiac",41.9667,-86.0833,"5",0.1515,"1997","NPT"
"NYNN","L.I.: Northern Nassau County",40.866,-73.5938,"5",0.0342,"1997","NPT"
"MASP","Springfield",42.1294,-72.5089,"5",0.0481,"1997","NPT"
"KSOP","Oskaloosa-Perry Lake",39.2014,-95.4032,"5",0.1493,"1997","NPT"
"NYTR","Troy",42.8333,-73.6568,"5",0.0752,"1997","NPT"
"WAEA","East Lake Washington",47.5899,-121.9995,"5",0.0595,"1997","NPT"
"PALA","Lancaster",39.9921,-76.3614,"5",0.0662,"1997","NPT"
"IAKE","Keokuk",40.4726,-91.4581,"5",0.125,"1997","NPT"
"INWH","Whitewater S.P.",39.5909,-84.9936,"5",0.1818,"1997","NPT"
"ORSH","Sodhouse",43.2,-118.8833,"5",0.1163,"1997","NPT"
"TXEP","El Paso",31.7828,-106.4798,"5",0.0862,"1997","NPT"
"NCCH","Cape Hatteras",35.2188,-75.6067,"5",0.0488,"1997","NPT"
"MACO","Concord",42.4333,-71.4333,"5",0.0204,"1997","NPT"
"VANS","Northern Shenandoah Valley",39.0501,-78.1667,"5",0.0242,"1997","NPT"
"NJPI","Pinelands",39.7701,-74.7391,"5",0.057,"1997","NPT"
"INEC","Eagle Creek Valley",39.9269,-86.3383,"5",0.0694,"1997","NPT"
"TXNA","Nacogdoches",31.5332,-94.6563,"5",0.0424,"1997","NPT"
"TXBO","Boerne",29.8666,-98.7901,"5",0.0426,"1997","NPT"
"OHHR","Hoover Reservoir",40.1905,-82.9412,"5",0.1176,"1997","NPT"
"PAWI","Williamsport",41.2501,-76.9355,"4",0.0468,"1997","NPT"
"IASR","Saylorville Reservoir",41.8038,-93.7562,"4",0.0377,"1997","NPT"
"NYSG","L.I.: Sagaponack",40.9298,-72.2287,"4",0.0842,"1997","NPT"
"MXEJ","Ejido San Pedro, Chihuahua, Mexico",30.7765,-108.4658,"4",0.0376,"1997","NPT"
"UTSG","St. George",37.15,-113.6,"4",0.0437,"1997","NPT"
"NJWC","Warren County-Northampton County",40.78,-75.1001,"4",0.039,"1997","NPT"
"TXCS","College Station",30.593,-96.3175,"4",0.0453,"1997","NPT"
"ILBL","Baldwin Lake-Kaskaskia River Valley",38.2858,-89.8397,"4",0.0769,"1997","NPT"
"INEV","Evansville",37.9776,-87.5752,"4",0.0369,"1997","NPT"
"CASN","Sonora",37.969,-120.3353,"4",0.0346,"1997","NPT"
"CTLH","Litchfield Hills",41.7703,-73.2724,"4",0.03,"1997","NPT"
"OHOT","Ottawa N.W.R.",41.6114,-83.2006,"4",0.1176,"1997","NPT"
"NYCA","L.I.: Captree",40.7038,-73.2493,"4",0.0307,"1997","NPT"
"MOSL","Swan Lake N.W.R.",39.6742,-93.2241,"4",0.0833,"1997","NPT"
"MDRR","Rock Run",39.6041,-76.167,"4",0.0316,"1997","NPT"
"MIAG","Allegan State Game Area",42.5498,-86.0054,"4",0.0717,"1997","NPT"
"MIRO","Rockwood",42.0684,-83.2499,"4",0.0458,"1997","NPT"
"ALGU","Guntersville",34.3883,-86.2803,"4",0.0552,"1997","NPT"
"SCSR","Savannah River Site",33.2,-81.6167,"4",0.062,"1997","NPT"
"CASO","San Bernardino Valley",34.0852,-117.301,"4",0.0755,"1997","NPT"
"LABR","Baton Rouge",30.3661,-91.1194,"4",0.0189,"1997","NPT"
"IASH","Shenandoah",40.7211,-95.4809,"3",0.0732,"1997","NPT"
"FLEC","Econlockhatchee",28.7094,-81.1467,"3",0.0223,"1997","NPT"
"TXDR","Del Rio",29.4651,-100.9585,"3",0.0484,"1997","NPT"
"PAYO","York",39.7894,-76.8893,"3",0.0429,"1997","NPT"
"ILMI","Meredosia Island",39.8542,-90.5937,"3",0.0845,"1997","NPT"
"CASV","San Fernando Valley",34.2358,-118.5025,"3",0.0612,"1997","NPT"
"NCWC","Wayne County",35.3239,-77.9845,"3",0.0588,"1997","NPT"
"NDGD","Garrison Dam",47.5119,-101.3264,"3",0.1034,"1997","NPT"
"IDIM","Indian Mountain",47.3833,-116.0833,"3",0.1304,"1997","NPT"
"CASI","Santa Catalina Island",33.3667,-118.4167,"3",0.0506,"1997","NPT"
"NJBO","Boonton",40.85,-74.3833,"3",0.017,"1997","NPT"
"MAUX","Uxbridge",42.0671,-71.666,"3",0.024,"1997","NPT"
"NYQW","L.I.: Quogue-Watermill",40.8591,-72.4524,"3",0.0561,"1997","NPT"
"AZSJ","St. Johns",34.5333,-109.3833,"3",0.1429,"1997","NPT"
"MSSL","Sardis Lake",34.47,-89.7222,"3",0.0484,"1997","NPT"
"INNC","New Castle",39.9167,-85.3667,"3",0.0638,"1997","NPT"
"NJSH","Sandy Hook",40.47,-74.0031,"3",0.0403,"1997","NPT"
"PACB","Central Bucks County",40.3102,-75.1017,"3",0.0234,"1997","NPT"
"MAQU","Quincy",42.2167,-70.9333,"3",0.0441,"1997","NPT"
"WYBH","Bates Hole",42.5833,-106.5,"3",0.0909,"1997","NPT"
"MDST","St. Michaels",38.7506,-76.2531,"3",0.0258,"1997","NPT"
"HIMA","Midway Atoll",28.2018,-177.3806,"3",0.1875,"1997","NPT"
"CTEW","Edwin Way Teale Trail Wood",41.7966,-71.9274,"3",0.0566,"1997","NPT"
"CTGS","Greenwich-Stamford",41.0826,-73.6138,"3",0.0129,"1997","NPT"
"INWS","Willow Slough-Iroquois Preserves",40.9819,-87.4894,"3",0.1008,"1997","NPT"
"GUSO","Southern Guam, Guam",13.3589,144.7055,"3",0.1791,"1997","NPT"
"HIHO","O'ahu: Honolulu",21.3692,-157.7874,"3",0.0375,"1997","NPT"
"ORBE","Bend",44.0642,-121.3109,"3",0.048,"1997","NPT"
"GAGC","Glynn County",31.1128,-81.4261,"3",0.0415,"1997","NPT"
"MSHA","Hattiesburg",31.3073,-89.3166,"3",0.0517,"1997","NPT"
"CNSA","Saipan, C.N.M.I.",15.1991,145.7506,"3",0.1395,"1997","NPT"
"MTTF","Three Forks",45.8451,-111.5552,"3",0.1765,"1997","NPT"
"FLSM","St. Marks",30.1536,-84.2227,"3",0.0382,"1997","NPT"
"VAWI","Williamsburg",37.2792,-76.6987,"3",0.036,"1997","NPT"
"ILWM","Western Mercer County",41.1702,-90.9198,"2",0.0593,"1997","NPT"
"TXBB","Bastrop-Buescher State Parks",30.0866,-97.2484,"2",0.0308,"1997","NPT"
"TNSA","Savannah",35.1632,-88.1666,"2",0.0331,"1997","NPT"
"NYST","Schenectady",42.7449,-73.9268,"2",0.029,"1997","NPT"
"KSAC","Arkansas City",37.0382,-97.0393,"2",0.0513,"1997","NPT"
"CAWO","Woodfords",38.7662,-119.8082,"2",0.0476,"1997","NPT"
"IADS","DeSoto N.W.R.",41.4509,-95.9642,"2",0.05,"1997","NPT"
"CALW","LaGrange-Waterford",37.6531,-120.5876,"2",0.0348,"1997","NPT"
"NVWL","Walker Lake",38.6922,-118.5,"2",0.0465,"1997","NPT"
"CTNL","New London",41.3236,-72.1007,"2",0.0187,"1997","NPT"
"UTMO","Moab",38.5667,-109.45,"2",0.0227,"1997","NPT"
"DESN","Seaford-Nanticoke",38.5845,-75.5739,"2",0.0299,"1997","NPT"
"MTBH","Bighorn River",45.3333,-107.8,"2",0.125,"1997","NPT"
"FLVE","Venice-Englewood",27.0048,-82.3793,"2",0.0178,"1997","NPT"
"INPC","Posey County",37.8924,-87.9421,"2",0.0331,"1997","NPT"
"KSWI","Wichita",37.6912,-97.3496,"2",0.0342,"1997","NPT"
"WYCO","Cody",44.4829,-109.0565,"2",0.0284,"1997","NPT"
"VACL","Central Loudon",39.0905,-77.6198,"2",0.0205,"1997","NPT"
"MDPL","Point Lookout",38.1061,-76.4212,"2",0.0328,"1997","NPT"
"IADA","Davenport",41.5522,-90.5132,"2",0.0331,"1997","NPT"
"NJRA","Ramsey",41.0935,-74.2541,"2",0.0233,"1997","NPT"
"CABI","Bishop",37.3611,-118.4776,"2",0.0548,"1997","NPT"
"MIHA","Hartland",42.6305,-83.8364,"2",0.0415,"1997","NPT"
"KSPA","Parsons",37.4643,-95.2528,"2",0.0667,"1997","NPT"
"MTPC","Park County",45.6394,-110.4874,"2",0.0606,"1997","NPT"
"CAAG","Angwin",38.5715,-122.3977,"2",0.0282,"1997","NPT"
"OKRC","Rogers County",36.3722,-95.6326,"2",0.08,"1997","NPT"
"INHM","Hanover-Madison",38.7382,-85.4706,"2",0.0784,"1997","NPT"
"IAMU","Muscatine",41.4274,-91.0107,"2",0.0544,"1997","NPT"
"CTQV","Quinnipiac Valley",41.4747,-72.7273,"2",0.0328,"1997","NPT"
"NELM","Lake McConaughy",41.2065,-101.724,"2",0.0491,"1997","NPT"
"NYSU","Southern Orange County",41.3022,-74.3415,"2",0.0179,"1997","NPT"
"MIDE","Detroit",42.7213,-83.551,"2",0.0174,"1997","NPT"
"PART","Rector",40.1613,-79.2418,"2",0.028,"1997","NPT"
"TNCV","Cookeville",36.1448,-85.4747,"2",0.0381,"1997","NPT"
"OKST","Stillwater",36.1452,-97.1765,"2",0.0364,"1997","NPT"
"MIWM","Western Macomb County",42.7008,-82.9533,"2",0.0215,"1997","NPT"
"MIKA","Kalamazoo",42.2963,-85.6482,"2",0.0256,"1997","NPT"
"MDAG","Annapolis-Gibson Island",39.0033,-76.5065,"2",0.0064,"1997","NPT"
"TNCH","Chattanooga",35.104,-85.2292,"2",0.0172,"1997","NPT"
"NCNB","New Bern",35.05,-77.0833,"2",0.0255,"1997","NPT"
"NJSO","Somerset County",40.5823,-74.622,"2",0.0226,"1997","NPT"
"KSWL","Waconda Lake",39.4654,-98.3591,"2",0.2222,"1997","NPT"
"MSSU","Sumner",33.9667,-90.3667,"2",0.1067,"1997","NPT"
"AKKO","Kodiak",57.75,-152.4833,"2",0.043,"1997","NPT"
"NJGS","Great Swamp-Watchung Ridges",40.6983,-74.4017,"2",0.0189,"1997","NPT"
"IDSP","Sandpoint",48.2749,-116.5624,"2",0.0377,"1997","NPT"
"WAPG","Port Gamble",47.8333,-122.6,"2",0.0327,"1997","NPT"
"MACB","Central Berkshire",42.4086,-73.2537,"2",0.05,"1997","NPT"
"SCCL","Clemson",34.6346,-82.8365,"2",0.0381,"1997","NPT"
"PABN","Bernville",40.4148,-76.1492,"2",0.0193,"1997","NPT"
"NESC","Scottsbluff",41.8674,-103.6408,"2",0.1,"1997","NPT"
"VTFE","Ferrisburg",44.1833,-73.3023,"2",0.0144,"1997","NPT"
"WABR","Bridgeport",48.0184,-119.6898,"2",0.0381,"1997","NPT"
"IASC","Sioux City",42.4914,-96.4072,"2",0.0323,"1997","NPT"
"NYAC","Albany County",42.5046,-73.898,"2",0.0381,"1997","NPT"
"AKKE","Ketchikan",55.3831,-131.67,"2",0.0672,"1997","NPT"
"VAJK","John H. Kerr Reservoir",36.6,-78.3,"2",0.0597,"1997","NPT"
"NYCM","Chatham",42.3797,-73.6461,"2",0.0214,"1997","NPT"
"OHWO","Wooster",40.7464,-82.0189,"2",0.0426,"1997","NPT"
"ILWA","Waukegan",42.3493,-87.8742,"2",0.0186,"1997","NPT"
"MTGF","Great Falls",47.4694,-111.3364,"2",0.0388,"1997","NPT"
"NELI","Lincoln",40.7992,-96.7494,"2",0.0244,"1997","NPT"
"ILNE","Newton",38.0441,-88.3181,"2",0.069,"1997","NPT"
"PASC","State College",40.8,-77.8,"2",0.0175,"1997","NPT"
"MAGB","Greater Boston",42.3973,-71.0955,"2",0.0085,"1997","NPT"
"ORMA","Malheur N.W.R.",42.8998,-118.8798,"2",0.044,"1997","NPT"
"VABK","Brooke",38.3703,-77.3287,"2",0.0256,"1997","NPT"
"OKSL","Sooner Lake",36.4032,-97.0672,"1",0.0455,"1997","NPT"
"CALR","Lake Almanor",40.2833,-121.25,"1",0.0233,"1997","NPT"
"CTSM","Stratford-Milford",41.1742,-73.1099,"1",0.0101,"1997","NPT"
"AKSE","Seward",60.1439,-149.4161,"1",0.0333,"1997","NPT"
"UTZI","Zion N.P.",37.2093,-112.9804,"1",0.0107,"1997","NPT"
"NMSR","Santa Rosa",34.9521,-104.6703,"1",0.1081,"1997","NPT"
"MDTR","Triadelphia Reservoir",39.1605,-76.9885,"1",0.0042,"1997","NPT"
"CAGV","Grass Valley",39.2302,-121.1359,"1",0.0063,"1997","NPT"
"AZTI","Timber Mesa",34.2089,-109.9582,"1",0.0392,"1997","NPT"
"NCWI","Wilmington",34.1401,-77.8936,"1",0.0127,"1997","NPT"
"KSKR","Kirwin Reservoir",39.6877,-99.1223,"1",0.0174,"1997","NPT"
"OHNL","New Lexington",39.7144,-82.2826,"1",0.036,"1997","NPT"
"ARAR","Arkadelphia",34.1333,-93.05,"1",0.0119,"1997","NPT"
"CALH","Lake Henshaw",33.2112,-116.7255,"1",0.0062,"1997","NPT"
"SDYA","Yankton",42.9333,-97.3833,"1",0.0247,"1997","NPT"
"NYBU","Buffalo",43.0016,-78.9651,"1",0.008,"1997","NPT"
"NYJA","Jamestown",42.1095,-79.2284,"1",0.0132,"1997","NPT"
"MIBY","Bay City",43.5805,-83.9332,"1",0.0198,"1997","NPT"
"SCHH","Hilton Head Island",32.2,-80.75,"1",0.003,"1997","NPT"
"MTHE","Helena",46.6833,-111.9833,"1",0.0147,"1997","NPT"
"MNDU","Duluth",46.8461,-92.0334,"1",0.0067,"1997","NPT"
"NJLA","Lakehurst",40.0159,-74.1451,"1",0.0102,"1997","NPT"
"SCLP","Litchfield-Pawleys Island",33.4908,-79.0904,"1",0.0085,"1997","NPT"
"COEI","Evergreen-Idaho Springs",39.6765,-105.4264,"1",0.0089,"1997","NPT"
"MIMU","Muskegon",43.2167,-86.25,"1",0.0417,"1997","NPT"
"NDDL","Des Lacs N.W.R.",48.6667,-102.0667,"1",0.0417,"1997","NPT"
"MAMA","Marshfield",42.0973,-70.6537,"1",0.0128,"1997","NPT"
"KSWR","Webster Reservoir",39.4231,-99.4064,"1",0.0667,"1997","NPT"
"NVTM","Truckee Meadows",39.4679,-119.8205,"1",0.0132,"1997","NPT"
"MDOA","Oakland",39.4936,-79.3658,"1",0.0196,"1997","NPT"
"NYSI","Staten Island",40.5833,-74.15,"1",0.0089,"1997","NPT"
"ILEN","Evanston (north shore)",42.1379,-87.7882,"1",0.0075,"1997","NPT"
"NJEL","Elmer",39.5834,-75.1428,"1",0.0152,"1997","NPT"
"MSGR","Grenada",33.8051,-89.7016,"1",0.0238,"1997","NPT"
"WIMA","Madison",43.0747,-89.3843,"1",0.0042,"1997","NPT"
"INLM","Lake Monroe",39.0152,-86.3984,"1",0.0098,"1997","NPT"
"MEYC","York County",43.1811,-70.6268,"1",0.0139,"1997","NPT"
"OKBB","Broken Bow Reservoir",34.0554,-94.7048,"1",0.0213,"1997","NPT"
"WVPA","Pipestem Area",37.58,-80.9196,"1",0.02,"1997","NPT"
"KSEM","Emporia",38.4456,-96.0835,"1",0.0313,"1997","NPT"
"IAJA","Jamaica",41.789,-94.3375,"1",0.022,"1997","NPT"
"FLWP","West Palm Beach",26.5672,-80.127,"1",0.0164,"1997","NPT"
"PADU","Dubois",41.1333,-78.75,"1",0.0299,"1997","NPT"
"SDSL","Sand Lake N.W.R.",45.7834,-98.25,"1",0.0357,"1997","NPT"
"INWG","Western Gibson County",38.3406,-87.7807,"1",0.0286,"1997","NPT"
"CTHA","Hartford",41.766,-72.6727,"1",0.0021,"1997","NPT"
"MIFL","Flint",42.8615,-83.8475,"1",0.037,"1997","NPT"
"OKNO","Norman",35.2655,-97.3767,"1",0.0095,"1997","NPT"
"VASL","Shenandoah N.P.-Luray",38.5948,-78.4572,"1",0.0091,"1997","NPT"
"KSLA","Lawrence",38.9933,-95.3111,"1",0.009,"1997","NPT"
"COPU","Pueblo",38.1753,-104.5196,"1",0.0274,"1997","NPT"
"SDLA","Lake Andes",43.1169,-98.5334,"1",0.0139,"1997","NPT"
"OHCI","Cincinnati",39.1,-84.3,"1",0.0052,"1997","NPT"
"PALV","Lehigh Valley",40.5479,-75.6059,"1",0.0074,"1997","NPT"
"NJPR","Princeton",40.341,-74.6649,"1",0.0068,"1997","NPT"
"PABV","Beaver",40.7318,-80.3554,"1",0.026,"1997","NPT"
"PALN","Linesville",41.6028,-80.4296,"1",0.0206,"1997","NPT"
"NHNH","Nashua-Hollis",42.8049,-71.5462,"1",0.0084,"1997","NPT"
